noble_filename_abbrev,article_title,journal_name,doi,table_page_num,catalyst_formula_raw,catalyst_formula,a1,a2,a3,a1_perc,a2_perc,a3_perc,b1,b2,b3,b1_perc,b2_perc,b3_perc,synthesis_method,reaction_oxidation_temperature,reaction_oxidation_temperature_units,reaction_reduction_temperature,reaction_reduction_temperature_units,cycle_number,extra_operating_condtions,yield_1,yield_1_amt,yield_1_units,yield_2,yield_2_amt,yield_2_units
patents-us811,REACTIVE WORKING MATERIAL FOR USE N HYDROGEN PRODUCTION BY DECOMPOSITION OF WATER,USPTO,"US 8,110,174 B2",page13,Fe3O4 (20.3 wt%)/YSZ,Fe3O4 (20.3 wt%)/YSZ,,,,,,,,,,,,,,,,1400, C,7,,H2,6.9,Ncm3/g,H2,5.5,Ncm3/g
patents-us811,REACTIVE WORKING MATERIAL FOR USE N HYDROGEN PRODUCTION BY DECOMPOSITION OF WATER,USPTO,"US 8,110,174 B2",page13,Fe3O4 (24.5 wt%)/YSZ,Fe3O4 (24.5 wt%)/YSZ,,,,,,,,,,,,,,,,1400, C,7,,H2,8.9,Ncm3/g,H2,4.6,Ncm3/g
patents-us811,REACTIVE WORKING MATERIAL FOR USE N HYDROGEN PRODUCTION BY DECOMPOSITION OF WATER,USPTO,"US 8,110,174 B2",page13,FeO4 (23.4 wt%)/CSZ,FeO4 (23.4 wt%)/CSZ,,,,,,,,,,,,,,,,1400, C,7,,H2,5.5,Ncm3/g,H2,6.2,Ncm3/g
patents-us811,REACTIVE WORKING MATERIAL FOR USE N HYDROGEN PRODUCTION BY DECOMPOSITION OF WATER,USPTO,"US 8,110,174 B2",page13,Mn0.68Fe2.62O4 (16.1 wt%)/YSZ,Mn0.68Fe2.62O4 (16.1 wt%)/YSZ,,,,,,,,,,,,,,,,1400, C,4,,H2,8,Ncm3/g,H2,3.3,Ncm3/g
patents-us202202671,"COMPOSITIONS , METHODS OF MAKING COMPOSITIONS , AND HYDROGEN PRODUCTION VIA THERMO - CHEMICAL SPLITTING",USPTO,US 2022/0267163 A1,page21,1% Pr/CeO2,1% Pr/CeO2,,,,,,,,,,,,,Precipitation,,,,,,,,,,,,
patents-us202202671,"COMPOSITIONS , METHODS OF MAKING COMPOSITIONS , AND HYDROGEN PRODUCTION VIA THERMO - CHEMICAL SPLITTING",USPTO,US 2022/0267163 A1,page16,PrOy/CeO2,1% PrOy/CeO2,,,,,,,,,,,,,Precipitation,,,,,,,H2,5.99,cm3/g,,,
patents-us202202671,"COMPOSITIONS , METHODS OF MAKING COMPOSITIONS , AND HYDROGEN PRODUCTION VIA THERMO - CHEMICAL SPLITTING",USPTO,US 2022/0267163 A1,page21,1% Tb/CeO2 - PPT,1% Tb/CeO2 ,,,,,,,,,,,,,Precipitation,,,,,,,,,,,,
patents-us202202671,"COMPOSITIONS , METHODS OF MAKING COMPOSITIONS , AND HYDROGEN PRODUCTION VIA THERMO - CHEMICAL SPLITTING",USPTO,US 2022/0267163 A1,page16,TbOx/CeO2,1% TbOx/CeO2,,,,,,,,,,,,,Precipitation,,,,,,,H2,5.94,cm3/g,,,
patents-us202202671,"COMPOSITIONS , METHODS OF MAKING COMPOSITIONS , AND HYDROGEN PRODUCTION VIA THERMO - CHEMICAL SPLITTING",USPTO,US 2022/0267163 A1,page21,10% Pr/CeO2 - PPT,10% Pr/CeO2,,,,,,,,,,,,,Precipitation,,,,,,,,,,,,
patents-us202202671,"COMPOSITIONS , METHODS OF MAKING COMPOSITIONS , AND HYDROGEN PRODUCTION VIA THERMO - CHEMICAL SPLITTING",USPTO,US 2022/0267163 A1,page21,10% Pr/CeO2 - IWI,10% Pr/CeO2,,,,,,,,,,,,,Incipient Wetness Impregnation,,,,,,,,,,,,
patents-us202202671,"COMPOSITIONS , METHODS OF MAKING COMPOSITIONS , AND HYDROGEN PRODUCTION VIA THERMO - CHEMICAL SPLITTING",USPTO,US 2022/0267163 A1,page16,PrOy/CeO2,10% PrOy/CeO2,,,,,,,,,,,,,Precipitation,,,,,,,H2,6.02,cm3/g,,,
patents-us202202671,"COMPOSITIONS , METHODS OF MAKING COMPOSITIONS , AND HYDROGEN PRODUCTION VIA THERMO - CHEMICAL SPLITTING",USPTO,US 2022/0267163 A1,page16,PrOy/CeO2,10% PrOy/CeO2,,,,,,,,,,,,,Incipient Wetness Impregnation,,,,,,,H2,5.61,cm3/g,,,
patents-us202202671,"COMPOSITIONS , METHODS OF MAKING COMPOSITIONS , AND HYDROGEN PRODUCTION VIA THERMO - CHEMICAL SPLITTING",USPTO,US 2022/0267163 A1,page21,10% Tb/CeO2- PPT,10% Tb/CeO2,,,,,,,,,,,,,Precipitation,,,,,,,,,,,,
patents-us202202671,"COMPOSITIONS , METHODS OF MAKING COMPOSITIONS , AND HYDROGEN PRODUCTION VIA THERMO - CHEMICAL SPLITTING",USPTO,US 2022/0267163 A1,page21,10% Tb/CeO2 - IWI,10% Tb/CeO2,,,,,,,,,,,,,Incipient Wetness Impregnation,,,,,,,,,,,,
patents-us202202671,"COMPOSITIONS , METHODS OF MAKING COMPOSITIONS , AND HYDROGEN PRODUCTION VIA THERMO - CHEMICAL SPLITTING",USPTO,US 2022/0267163 A1,page16,TbOx/CeO2,10% TbOx/CeO2,,,,,,,,,,,,,Precipitation,,,,,,,H2,4.7,cm3/g,,,
patents-us202202671,"COMPOSITIONS , METHODS OF MAKING COMPOSITIONS , AND HYDROGEN PRODUCTION VIA THERMO - CHEMICAL SPLITTING",USPTO,US 2022/0267163 A1,page16,TbOx/CeO2,10% TbOx/CeO2,,,,,,,,,,,,,Incipient Wetness Impregnation,,,,,,,H2,4.81,cm3/g,,,
patents-us202202671,"COMPOSITIONS , METHODS OF MAKING COMPOSITIONS , AND HYDROGEN PRODUCTION VIA THERMO - CHEMICAL SPLITTING",USPTO,US 2022/0267163 A1,page16,CeO2,CeO2,,,,,,,,,,,,,,,,,,,,H2,5.49,cm3/g,,,
patents-us202202671,"COMPOSITIONS , METHODS OF MAKING COMPOSITIONS , AND HYDROGEN PRODUCTION VIA THERMO - CHEMICAL SPLITTING",USPTO,US 2022/0267163 A1,page21,CeO2 nanoparticles,CeO2,,,,,,,,,,,,,Commercial,,,,,,,,,,,,
patents-us202001393,SUPPORTED PEROVSKITE - OXIDE COMPOSITES FOR ENHANCED LOW TEMPERATURE THERMOCHEMICAL CONVERSION OF CO2 TO CO,USPTO,US 2020/0139351 A1,page36,LSF25/AI2O3,(La0.75Sr0.25FeO3)0.25/(Al2O3)0.75,,,,,,,,,,,,,,,,,,,,H2,2920,µmol/gLSF,CO,490,µmol/gLSF
patents-us202001393,SUPPORTED PEROVSKITE - OXIDE COMPOSITES FOR ENHANCED LOW TEMPERATURE THERMOCHEMICAL CONVERSION OF CO2 TO CO,USPTO,US 2020/0139351 A1,page36,LSF25/CeO2,(La0.75Sr0.25FeO3)0.25/(CeO2)0.75,,,,,,,,,,,,,,,,,,,,H2,1720,µmol/gLSF,CO,1100,µmol/gLSF
patents-us202001393,SUPPORTED PEROVSKITE - OXIDE COMPOSITES FOR ENHANCED LOW TEMPERATURE THERMOCHEMICAL CONVERSION OF CO2 TO CO,USPTO,US 2020/0139351 A1,page36,LSF25/SiO2,(La0.75Sr0.25FeO3)0.25/(SiO2)0.75,,,,,,,,,,,,,,,,,,,,H2,3690,µmol/gLSF,CO,1700,µmol/gLSF
patents-us202001393,SUPPORTED PEROVSKITE - OXIDE COMPOSITES FOR ENHANCED LOW TEMPERATURE THERMOCHEMICAL CONVERSION OF CO2 TO CO,USPTO,US 2020/0139351 A1,page36,LSF25/TiO2,(La0.75Sr0.25FeO3)0.25/(TiO2)0.75,,,,,,,,,,,,,,,,,,,,H2,2180,µmol/gLSF,CO,850,µmol/gLSF
patents-us202001393,SUPPORTED PEROVSKITE - OXIDE COMPOSITES FOR ENHANCED LOW TEMPERATURE THERMOCHEMICAL CONVERSION OF CO2 TO CO,USPTO,US 2020/0139351 A1,page36,LSF25/ZrO2,(La0.75Sr0.25FeO3)0.25/(ZrO2)0.75,,,,,,,,,,,,,,,,,,,,H2,2040,µmol/gLSF,CO,1350,µmol/gLSF
patents-us202001393,SUPPORTED PEROVSKITE - OXIDE COMPOSITES FOR ENHANCED LOW TEMPERATURE THERMOCHEMICAL CONVERSION OF CO2 TO CO,USPTO,US 2020/0139351 A1,page36,LSF,La0.75Sr0.25FeO3,La,Sr,,0.75,0.25,,Fe,,,1,,,,,,,,,,H2,2210,µmol/gLSF,CO,690,µmol/gLSF
patents-us1102,METHOD FOR PRODUCING HYDROGEN,USPTO,"US 11,027,971 B2",page13,Co10 mol %,CeO2/10%CoOx,,,,,,,,,,,,,,1200, C,1300, C,,,,,,,,
patents-us1102,METHOD FOR PRODUCING HYDROGEN,USPTO,"US 11,027,971 B2",page13,Mn10 mol %,CeO2/10%MnOx,,,,,,,,,,,,,,1200, C,1300, C,,,,,,,,
patents-us1102,METHOD FOR PRODUCING HYDROGEN,USPTO,"US 11,027,971 B2",page13,Co15 mol %,CeO2/15%CoOx,,,,,,,,,,,,,,1200, C,1300, C,,,,,,,,
patents-us1102,METHOD FOR PRODUCING HYDROGEN,USPTO,"US 11,027,971 B2",page13,Mn15 mol %,CeO2/15%MnOx,,,,,,,,,,,,,,1200, C,1300, C,,,,,,,,
patents-us1102,METHOD FOR PRODUCING HYDROGEN,USPTO,"US 11,027,971 B2",page13,Co25 mol %,CeO2/25%CoOx,,,,,,,,,,,,,,1200, C,1300, C,,,,,,,,
patents-us1102,METHOD FOR PRODUCING HYDROGEN,USPTO,"US 11,027,971 B2",page13,Co30 mo %,CeO2/30%CoOx,,,,,,,,,,,,,,1200, C,1300, C,,,,,,,,
patents-us1102,METHOD FOR PRODUCING HYDROGEN,USPTO,"US 11,027,971 B2",page13,Mn30 mol %,CeO2/30%MnOx,,,,,,,,,,,,,,1200, C,1300, C,,,,,,,,
patents-us1102,METHOD FOR PRODUCING HYDROGEN,USPTO,"US 11,027,971 B2",page13,Co5 mol %,CeO2/5%CoOx,,,,,,,,,,,,,,1200, C,1300, C,,,,,,,,
patents-us1102,METHOD FOR PRODUCING HYDROGEN,USPTO,"US 11,027,971 B2",page13,Mn5 mol %,CeO2/5%MnOx,,,,,,,,,,,,,,1200, C,1300, C,,,,,,,,
patents-us1094,PEROVSKITE OXIDES FOR THERMOCHEMICAL CONVERSION OF CARBON DIOXIDE,USPTO,"US 10,946,362 B1",page36,Ce0.2Fe0.8O2,Ce0.2Fe0.8O2,,,,,,,,,,,,,,750, C,,,,,O2,440,µmoles/gcat/min,,,
patents-us1094,PEROVSKITE OXIDES FOR THERMOCHEMICAL CONVERSION OF CARBON DIOXIDE,USPTO,"US 10,946,362 B1",page36,Ce0.67Fe2.33O2,Ce0.67Fe2.33O2,,,,,,,,,,,,,,1100, C,1400, C,,,O2,0.5,µmoles/gcat/min,,,
patents-us1094,PEROVSKITE OXIDES FOR THERMOCHEMICAL CONVERSION OF CARBON DIOXIDE,USPTO,"US 10,946,362 B1",page36,Ceria,CeO2,,,,,,,,,,,,,,900, C,1500, C,,,O2,206,µmoles/gcat/min,O2,81,µmoles/gcat/min
patents-us1094,PEROVSKITE OXIDES FOR THERMOCHEMICAL CONVERSION OF CARBON DIOXIDE,USPTO,"US 10,946,362 B1",page36,Co3O4/CeO2,Co3O4/CeO2,,,,,,,,,,,,,,,,,,,,O2,0.1,µmoles/gcat/min,,,
patents-us1094,PEROVSKITE OXIDES FOR THERMOCHEMICAL CONVERSION OF CARBON DIOXIDE,USPTO,"US 10,946,362 B1",page36,Cu-ZnO,Cu-ZnO,,,,,,,,,,,,,,32-40, C,,,,,O2,0,µmoles/gcat/min,,,
patents-us1094,PEROVSKITE OXIDES FOR THERMOCHEMICAL CONVERSION OF CARBON DIOXIDE,USPTO,"US 10,946,362 B1",page36,Cu/ZnO/Al2O3,Cu/ZnO/Al2O3,,,,,,,,,,,,,,600, C,750, C,,,O2,210,µmoles/gcat/min,,,
patents-us1094,PEROVSKITE OXIDES FOR THERMOCHEMICAL CONVERSION OF CARBON DIOXIDE,USPTO,"US 10,946,362 B1",page36,Fe203:Al203 (Fe:Al=7:3),Fe203:Al203 (Fe:Al=7:3),,,,,,,,,,,,,,750, C,,,,,O2,350,µmoles/gcat/min,,,
patents-us1094,PEROVSKITE OXIDES FOR THERMOCHEMICAL CONVERSION OF CARBON DIOXIDE,USPTO,"US 10,946,362 B1",page36,Fe304:Al203 (Fe:Al=9:1),Fe304:Al203 (Fe:Al=9:1),,,,,,,,,,,,,,800, C,,,,,O2,22.22,µmoles/gcat/min,,,
patents-us1094,PEROVSKITE OXIDES FOR THERMOCHEMICAL CONVERSION OF CARBON DIOXIDE,USPTO,"US 10,946,362 B1",page35,La0.6Ba0.4Al0.4Mn0.6O3,La0.6Ba0.4Al0.4Mn0.6O3,La,Ba,,0.6,0.4,,Al,Mn,,0.4,0.6,,,550, C,640, C,,,CO,757,µmoles/g cat,,,
patents-us1094,PEROVSKITE OXIDES FOR THERMOCHEMICAL CONVERSION OF CARBON DIOXIDE,USPTO,"US 10,946,362 B1",page36,La0.6Ba0.4Cr0.6Fe0.4O3,La0.6Ba0.4Cr0.6Fe0.4O3,La,Ba,,0.6,0.4,,Cr,Fe,,0.6,0.4,,,470, C,560, C,,,CO,135,µmoles/g cat,,,
patents-us1094,PEROVSKITE OXIDES FOR THERMOCHEMICAL CONVERSION OF CARBON DIOXIDE,USPTO,"US 10,946,362 B1",page36,La0.6Ba0.4Cr0.8Co0.2O3,La0.6Ba0.4Cr0.8Co0.2O3,La,Ba,,0.6,0.4,,Cr,Co,,0.8,0.2,,,525, C,630, C,,,CO,196,µmoles/g cat,,,
patents-us1094,PEROVSKITE OXIDES FOR THERMOCHEMICAL CONVERSION OF CARBON DIOXIDE,USPTO,"US 10,946,362 B1",page35,La0.6Ba0.4Fe0.6Al0.4O3,La0.6Ba0.4Fe0.6Al0.4O3,La,Ba,,0.6,0.4,,Fe,Al,,0.6,0.4,,,440, C,550, C,,,CO,569,µmoles/g cat,,,
patents-us1094,PEROVSKITE OXIDES FOR THERMOCHEMICAL CONVERSION OF CARBON DIOXIDE,USPTO,"US 10,946,362 B1",page36,La0.6Ba0.4Mn0.6Cr0.4O3,La0.6Ba0.4Mn0.6Cr0.4O3,La,Ba,,0.6,0.4,,Mn,Cr,,0.6,0.4,,,535, C,610, C,,,CO,198,µmoles/g cat,,,
patents-us1094,PEROVSKITE OXIDES FOR THERMOCHEMICAL CONVERSION OF CARBON DIOXIDE,USPTO,"US 10,946,362 B1",page36,La0.6Ba0.4Mn0.6Fe0.4O3,La0.6Ba0.4Mn0.6Fe0.4O3,La,Ba,,0.6,0.4,,Mn,Fe,,0.6,0.4,,,650, C,860, C,,,CO,254,µmoles/g cat,,,
patents-us1094,PEROVSKITE OXIDES FOR THERMOCHEMICAL CONVERSION OF CARBON DIOXIDE,USPTO,"US 10,946,362 B1",page36,La0.6Ba0.4MnO3,La0.6Ba0.4MnO3,La,Ba,,0.6,0.4,,Mn,,,1,,,,580, C,640, C,,,CO,210,µmoles/g cat,,,
patents-us1094,PEROVSKITE OXIDES FOR THERMOCHEMICAL CONVERSION OF CARBON DIOXIDE,USPTO,"US 10,946,362 B1",page35,La0.6Ca0.4Cr0.4Mn0.6O3,La0.6Ca0.4Cr0.4Mn0.6O3,La,Ca,,0.6,0.4,,Cr,Mn,,0.4,0.6,,,450, C,680, C,,,CO,566,µmoles/g cat,,,
patents-us1094,PEROVSKITE OXIDES FOR THERMOCHEMICAL CONVERSION OF CARBON DIOXIDE,USPTO,"US 10,946,362 B1",page35,La0.6Ca0.4Cr0.6Al0.4O3,La0.6Ca0.4Cr0.6Al0.4O3,La,Ca,,0.6,0.4,,Cr,Al,,0.6,0.4,,,535, C,750, C,,,CO,288,µmoles/g cat,,,
patents-us1094,PEROVSKITE OXIDES FOR THERMOCHEMICAL CONVERSION OF CARBON DIOXIDE,USPTO,"US 10,946,362 B1",page35,La0.6Ca0.4Cr0.6Fe0.4O3,La0.6Ca0.4Cr0.6Fe0.4O3,La,Ca,,0.6,0.4,,Cr,Fe,,0.6,0.4,,,500, C,860, C,,,CO,257,µmoles/g cat,,,
patents-us1094,PEROVSKITE OXIDES FOR THERMOCHEMICAL CONVERSION OF CARBON DIOXIDE,USPTO,"US 10,946,362 B1",page36,La0.6Ca0.4Cr0.8Co0.2O3,La0.6Ca0.4Cr0.8Co0.2O3,La,Ca,,0.6,0.4,,Cr,Co,,0.8,0.2,,,560, C,690, C,,,CO,146,µmoles/g cat,,,
patents-us1094,PEROVSKITE OXIDES FOR THERMOCHEMICAL CONVERSION OF CARBON DIOXIDE,USPTO,"US 10,946,362 B1",page35,La0.6Ca0.4Fe0.4Mn0.6O3,La0.6Ca0.4Fe0.4Mn0.6O3,La,Ca,,0.6,0.4,,Fe,Mn,,0.4,0.6,,,450, C,500, C,,,CO,973,µmoles/g cat,,,
patents-us1094,PEROVSKITE OXIDES FOR THERMOCHEMICAL CONVERSION OF CARBON DIOXIDE,USPTO,"US 10,946,362 B1",page35,La0.6Ca0.4MnO3,La0.6Ca0.4MnO3,La,Ca,,0.6,0.4,,Mn,,,1,,,,585, C,710, C,,,CO,1242,µmoles/g cat,,,
patents-us1094,PEROVSKITE OXIDES FOR THERMOCHEMICAL CONVERSION OF CARBON DIOXIDE,USPTO,"US 10,946,362 B1",page36,La0.75Sr0.25CoO3,La0.75Sr0.25CoO3,La,Sr,,0.75,0.25,,Co,,,1,,,,500, C,850, C,,,O2,100.8,µmoles/gcat/min,,,
patents-us1094,PEROVSKITE OXIDES FOR THERMOCHEMICAL CONVERSION OF CARBON DIOXIDE,USPTO,"US 10,946,362 B1",page35,La0.75Sr0.25FeO3,La0.75Sr0.25FeO3,La,Sr,,0.75,0.25,,Fe,,,1,,,,450, C,560, C,,,CO,599,µmoles/g cat,,,
patents-us1094,PEROVSKITE OXIDES FOR THERMOCHEMICAL CONVERSION OF CARBON DIOXIDE,USPTO,"US 10,946,362 B1",page36,La0.75Sr0.25FeO3,La0.75Sr0.25FeO3,La,Sr,,0.75,0.25,,Fe,,,1,,,,550, C,,,,,O2,80,µmoles/gcat/min,,,
patents-us1094,PEROVSKITE OXIDES FOR THERMOCHEMICAL CONVERSION OF CARBON DIOXIDE,USPTO,"US 10,946,362 B1",page36,Ni-Ferrite,Ni-Ferrite,,,,,,,,,,,,,,1100, C,,,,,O2,22,µmoles/gcat/min,,,
patents-us1094,PEROVSKITE OXIDES FOR THERMOCHEMICAL CONVERSION OF CARBON DIOXIDE,USPTO,"US 10,946,362 B1",page36,Pt-Ti_Y_Zeolite,Pt-Ti_Y_Zeolite,,,,,,,,,,,,,,55, C,,,,,O2,0,µmoles/gcat/min,,,
patents-us1094,PEROVSKITE OXIDES FOR THERMOCHEMICAL CONVERSION OF CARBON DIOXIDE,USPTO,"US 10,946,362 B1",page36,Rh/TiO2,Rh/TiO2,,,,,,,,,,,,,,300, C,,,,,O2,56,µmoles/gcat/min,,,
patents-us1094,PEROVSKITE OXIDES FOR THERMOCHEMICAL CONVERSION OF CARBON DIOXIDE,USPTO,"US 10,946,362 B1",page36,Ru/RuOx/TiO2,Ru/RuOx/TiO2,,,,,,,,,,,,,,46, C,,,,,O2,0.82,µmoles/gcat/min,,,
patents-us1094,PEROVSKITE OXIDES FOR THERMOCHEMICAL CONVERSION OF CARBON DIOXIDE,USPTO,"US 10,946,362 B1",page36,Sr0.6La0.6Mn0.4Al0.6O3,Sr0.4La0.6Mn0.4Al0.6O3,Sr,La,,0.4,0.6,,Mn,Al,,0.4,0.6,,,1000, C,1350, C,,,O2,18.4,µmoles/gcat/min,,,
patents-us1094,PEROVSKITE OXIDES FOR THERMOCHEMICAL CONVERSION OF CARBON DIOXIDE,USPTO,"US 10,946,362 B1",page36,Sr0.6La0.6Mn0.6Al0.6O3,Sr0.4La0.6Mn0.6Al0.4O3,Sr,La,,0.4,0.6,,Mn,Al,,0.6,0.4,,,1000, C,1350, C,,,O2,21.9,µmoles/gcat/min,,,
patents-us1094,PEROVSKITE OXIDES FOR THERMOCHEMICAL CONVERSION OF CARBON DIOXIDE,USPTO,"US 10,946,362 B1",page36,Sr0.6La0.4Mn0.6Al0.4O3,Sr0.6La0.4Mn0.6Al0.4O3,Sr,La,,0.6,0.4,,Mn,Al,,0.6,0.4,,,1000, C,1350, C,,,O2,9.3,µmoles/gcat/min,,,
patents-us1094,PEROVSKITE OXIDES FOR THERMOCHEMICAL CONVERSION OF CARBON DIOXIDE,USPTO,"US 10,946,362 B1",page36,TiO2(P25),TiO2(P25),,,,,,,,,,,,,,5, C,,,,,O2,0.01,µmoles/gcat/min,,,
patents-us1080,REDOX - ACTIVE OXIDE MATERIALS FOR THERMAL ENERGY STORAGE,USPTO,"US 10,800,665 B1",page20,Ca0.8La0.2Ti0.4Mn0.6O3 (CLTM8228),Ca0.8La0.2Ti0.4Mn0.6O3,Ca,La,,0.8,0.2,,Ti,Mn,,0.4,0.6,,,,,1020, C,,,,,,,,
patents-us1080,REDOX - ACTIVE OXIDE MATERIALS FOR THERMAL ENERGY STORAGE,USPTO,"US 10,800,665 B1",page20,Ca0.8La0.2Ti0.4Mn0.6O3 (CLTM8228),Ca0.8La0.2Ti0.4Mn0.6O3,Ca,La,,0.8,0.2,,Ti,Mn,,0.4,0.6,,,,,827, C,,,,,,,,
patents-us1080,REDOX - ACTIVE OXIDE MATERIALS FOR THERMAL ENERGY STORAGE,USPTO,"US 10,800,665 B1",page20,Ca0.9Y0.1Al0.2Mn0.8O3 (CYAM9128),Ca0.9Y0.1Al0.2Mn0.8O3,Ca,Y,,0.9,0.1,,Al,Mn,,0.2,0.8,,,,,800, C,,,,,,,,
patents-us1080,REDOX - ACTIVE OXIDE MATERIALS FOR THERMAL ENERGY STORAGE,USPTO,"US 10,800,665 B1",page20,Ca0.9Y0.1MnO3 (CYM91),Ca0.9Y0.1MnO3,Ca,Y,,0.9,0.1,,Mn,,,1,,,,,,991, C,,,,,,,,
patents-us1080,REDOX - ACTIVE OXIDE MATERIALS FOR THERMAL ENERGY STORAGE,USPTO,"US 10,800,665 B1",page21,CAM28,CaAl0.2Mn0.8O3,Ca,,,1,,,Al,Mn,,0.2,0.8,,,,,759, C,,,,,,,,
patents-us1080,REDOX - ACTIVE OXIDE MATERIALS FOR THERMAL ENERGY STORAGE,USPTO,"US 10,800,665 B1",page20,CaAl0.2Mn0.8O3 (CFM28),CaAl0.2Mn0.8O3,Ca,,,1,,,Al,Mn,,0.2,0.8,,,,,759, C,,,,,,,,
patents-us1080,REDOX - ACTIVE OXIDE MATERIALS FOR THERMAL ENERGY STORAGE,USPTO,"US 10,800,665 B1",page20,CaCo0.2Mn0.8O3 (CCM28),CaCo0.2Mn0.8O3,Ca,,,1,,,Co,Mn,,0.2,0.8,,,,,730, C,,,,,,,,
patents-us1080,REDOX - ACTIVE OXIDE MATERIALS FOR THERMAL ENERGY STORAGE,USPTO,"US 10,800,665 B1",page20,CaFe0.2Mn0.8O3 (CFM28),CaFe0.2Mn0.8O3,Ca,,,1,,,Fe,Mn,,0.2,0.8,,,,,418, C,,,,,,,,
patents-us1080,REDOX - ACTIVE OXIDE MATERIALS FOR THERMAL ENERGY STORAGE,USPTO,"US 10,800,665 B1",page20,CaFe0.4Mn0.6O3 (CFM46),CaFe0.4Mn0.6O3,Ca,,,1,,,Fe,Mn,,0.4,0.6,,,,,427, C,,,,,,,,
